dataset,activation,dropout,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,n_errors,error_rate,mean_confidence_correct,mean_confidence_incorrect
original,tanh,0.0,0.979,0.9788456364398177,0.9789330493518301,0.9788460021531646,0.9789723317749845,210.0,0.021,0.9954181356940422,0.8120993812103325
balanced,gelu,0.5,0.9747,0.974619658423264,0.9745451673235428,0.9745327582172824,0.9746781732561461,253.0,0.0253,0.9914111172232847,0.8209147947790189
cleaned,gelu,0.5,0.9709,0.9707500698996284,0.9706532084435894,0.9706502432213314,0.9708785836221552,291.0,0.0291,0.9926167949596316,0.7965672935968445
