dataset,framework,activation,dropout,test_accuracy,test_macro_f1,macro_f1_mean,macro_f1_std,train_seconds_mean
original,PyTorch,tanh,0.0,0.979,0.9788460021531646,0.9772619513937949,0.0011251095252445653,66.20166959100364
original,JAX,tanh,0.0,0.9822,0.9820589482137464,0.9809868174211118,0.0008633526015601335,87.38875866099261
balanced,PyTorch,gelu,0.5,0.9747,0.9745327582172824,0.9734037846468625,0.0009829418120542023,33.908962977332216
balanced,JAX,gelu,0.5,0.9755,0.9753866846776212,0.973883942170124,0.0010658931580767024,28.140204063665198
cleaned,PyTorch,gelu,0.5,0.9709,0.9706502432213314,0.9703083446273065,0.0009053531347866109,29.98260158932923
cleaned,JAX,gelu,0.5,0.9694,0.9691880290839068,0.9711291074423624,0.0014618285992458286,24.033062912669266
